种类,产品名称,净含量（克）,数量,到期日,每日推荐喂食量（克）
主食,毛星球全价猫粮鸡肉三文鱼配方,500g,1,2027.6.23,53-60g
主食,毛星球·主食罐熔岩流心罐兔肉蛋黄配方,85g,4,2028.1.1,1-2罐
主食,毛星球全价主食冻干猫粮鹅肉蛋黄羊奶配方—肉蛋奶小方,300g,2,2027.2.22,35-40g
主食,毛星球全价主食冻干猫粮鹅肉蛋黄羊奶配方—肉蛋奶小方,10g,7,2027.5.6,35-40g
主食,佩内特全价猫用主食鲜粮包兔肉口味,40g,15,2027.3.8,1-2袋
主食,朗诺全价猫用主食冻干鲜鸡肉配方—五珍桶,15g,40,2027.9.13,30-46g
主食,顽皮鲜肉无谷全价猫粮,2000g,1,2027.9.23,29-68g
主食,泡咔全价宠物食品猫猫能量条麦草炖鸡肉—小仙炖,35g,6,2026.12.14,1-2条
主食,泡咔全价宠物食品猫猫能量条羊乳炖鸡肉—小仙炖,35g,8,2026.12.14,1-2条
主食,宽福全价主食猫饭肥喵乳鸽饭,80g,3,2026.9.25,2-3袋
主食,都乐时全价主食猫条鸡肉南极磷虾油配方,16g,3,2027.3.7,7-10支
主食,笨初初全价猫用主食餐盒鸡肉兔肉配方—豆啵啵,50g,1,2027.1.12,1-2罐
主食,林兜全价主食冻干生骨肉鸡肉配方,10g,1,2026.10.15,15-40g
主食,一只喜欢全价主食冻干鸽肉配方—冻干范,20g,1,2026.12.12,1袋
主食,森喜全价主食罐头—迷你巴斯克双层蛋糕,65g,4,2027.12.22,1-2罐
,,,,,
零食,毛星球·爆爆酥(排毛清肠),40g,1,2027.6.1,6-8g
零食,毛星球·冻干走地鸡胸肉粒,60g,1,2027.6.11,5-8g
零食,毛星球益生菌猫条(三口味),10g,6,2027.12.16,1-2根
零食,毛星球·补水罐鸡肉磷虾配方,85g,6,2027.12.7,1-2罐
零食,海洋之星宠物零食奶酪冻饮品,60g,1,2026.12.23,1-2袋
零食,海洋之星宠物零食“鱼”你胶原汤,100g,1,2028.2.27,1-2袋
零食,小壳小白牙冻干羊奶洁齿棒鸡肉羊奶配方,35g,1,2027.7.31,3根
零食,小壳小白牙冻干羊奶洁齿棒鸡肉羊奶配方,10g,1,2027.7.6,3根
零食,帕特鸭小勺姜黄萝卜鸭,18g,9,2026.6.2,1支
零食,益和鲜时宠物零食鲜酥骨鸡腿,70g,2,2026.7.3,1支
零食,笨初初宠物零食猫用冻干鸭肉配方,60g,1,2026.6.10,不超过每日总喂食量的10%
零食,路斯宠物零食冻干鸽子肉丁,30g,1,2026.12.20,3-5粒
零食,新宠之康蒸煮鸡心鸡肝—心肝饱饱,40g,1,2027.3.16,1袋
零食,卷尾巴宠物零食猫罐头鸡肉口味—四方水,85g,3,2027.10.30,1-2罐
,,,,,
营养,复宠1+4益生菌,1g,14,2027.8.6,1袋
营养,都乐时宠物营养补充剂—五纯南极磷虾油,0.5g,6,2028.3.18,1-2粒
营养,都乐时宠物营养补充剂—冻干,2g,2,2026.9.30,1-2颗
